hotel_id,city,province,name,address,postalcode
965,Leesburg,VA,Hampton Inn Suites Leesburg,117 Fort Evans Rd NE,20176
966,Lesterville,MO,Wilderness Lodge,Po Box 90,63654
967,Lewes,DE,Red Mill Inn,16218 Coastal Hwy,19958
968,Lewisburg,TN,Richland Inn - Lewisburg,723 E Commerce St,37091
969,Lewiston,ID,Comfort Inn,2128 8th Ave,83501
970,Lexington,SC,Comfort Suites Lexington,325 W Main St,29072
971,Lexington,KY,Hampton Inn Lexington Medical Center,1953 Nicholasville Rd,40503
972,Lexington,MI,Harbourfront Motel,5689 Old Orchard Bluff Rd,48450
973,Lexington,KY,Home2 Suites by Hilton Lexington University / Medical Center,126 E Lowry Ln,40503
974,Lexington,KY,Motel 6,2260 Elkhorn Rd,40505
975,Lexington,KY,Residence Inn Lexington North,1080 Newtown Pike,40511
976,Lexington,KY,Sleep Inn,1920 Plaudit Pl,40509
977,Limon,CO,Comfort Inn,2255 9th St,80828
978,Lincoln,NE,Hilton Garden Inn Lincoln Downtown Haymarket,801 R St,68508
979,Lincoln,NE,Staybridge Suites Lincoln Northeast,1501 N 86th St,68505
980,Lincoln City,OR,Rodeway Inn Suites,1070 SE 1st St,97367
981,Lincoln City,OR,Sailor Jack Ocean Front Motel,1035 NW Harbor Ave,97367
982,Lincolnton,NC,Hampton Inn-lincolnton,129 Roper Rd,28092
983,Linthicum Heights,MD,Embassy Suites by Hilton Baltimore at BWI Airport,1300 Concourse Dr,21090
984,Linthicum Heights,MD,Hilton Baltimore BWI Airport,1739 W Nursery Rd,21090
985,Linthicum Heights,MD,Hilton Garden Inn BWI Airport,1516 Aero Dr,21090
986,Linthicum Heights,MD,Residence Inn Baltimore BWI Airport,1160 Winterson Rd,21090
987,Lithonia,GA,Holiday Inn Express & Suites Atlanta East - Lithonia,7846 Stonecrest Sq,30038
988,Lithonia,GA,Hyatt Place Atlanta-East/Lithonia,7900 Mall Ring Rd,30038
989,Little Rock,AR,Hampton Inn & Suites Little Rock-downtown,320 River Market Ave,72201
990,Littleton,CO,Comfort Suites Highlands Ranch Denver Tech Center Area,7060 E County Line Rd,80126
991,Littleton,CO,Holiday Inn Express Suites Denver Sw-Littleton,12683 W Indore Pl,80127
992,Littleton,MA,Lyttleton Inn,423 King St,1460
993,Lockport,NY,Best Western Plus Lockport Hotel,515 S Transit St,14094
994,Lodi,WI,Quality Inn Suites,W9250 Prospect Dr,53555
995,Lodi,CA,Viking Motel,815 S Cherokee Ln,95240
996,Logan,UT,Days Inn & Suites Logan,447 N Main St,84321
997,Londonderry,VT,Blue Gentian Lodge,289 Magic Mtn Access,5148
998,Lone Tree,CO,Element Denver Park Meadows,9985 Park Meadows Dr,80124
999,Long Beach,CA,Best Western Plus Hotel At The Convention Center,517 E 1st St,90802
1000,Long Beach,CA,Hotel Maya - a DoubleTree by Hilton Hotel,700 Queensway Dr,90802
1001,Long Beach,CA,Rodeway Inn,50 Atlantic Ave,90802
1002,Long Beach,CA,The Varden Hotel,335 Pacific Ave,90802
1003,Longboat Key,FL,The Resort at Longboat Key Club,220 Sands Point Rd,34228
1004,Los Alamos,CA,Alamo Motel,425 Bell St,93440
1005,Los Angeles,CA,Holiday Inn Express & Suites Los Angeles Downtown West,611 S Westlake Ave,90057
1006,Los Angeles,CA,Hollywood Inn Express South,141 N Alvarado St,90026-5302
1007,Los Angeles,CA,Miyako Hotel Los Angeles,328 East 1st Street,90012
1008,Los Angeles,CA,The L.A. Hotel Downtown,333 S Figueroa St,90071
